reference_code,candidate_dois_json,doi_links_json,lookup_status,training_molecules,record_ids_json
1972MOR,[],[],possible bibliographic match only; verify primary reference,2,"[""rdr250199#csvline11889"",""rdr250199#csvline12571""]"
1972MOR2,[],[],possible bibliographic match only; verify primary reference,2,"[""rdr250199#csvline12361"",""rdr250199#csvline13154""]"
1973COU/LEE,[],[],possible bibliographic match only; verify primary reference,2,"[""rdr250199#csvline397"",""rdr250199#csvline398"",""rdr250199#csvline399"",""rdr250199#csvline400"",""rdr250199#csvline4153""]"
1981HOS/SCO,[],[],possible bibliographic match only; verify primary reference,2,"[""rdr250199#csvline2723"",""rdr250199#csvline4650""]"
1982FUC/PEA,[],[],possible bibliographic match only; verify primary reference,2,"[""rdr250199#csvline3062"",""rdr250199#csvline9120""]"
1984MAJ/SVO,[],[],possible bibliographic match only; verify primary reference,2,"[""rdr250199#csvline3125"",""rdr250199#csvline3126"",""rdr250199#csvline3127"",""rdr250199#csvline3128"",""rdr250199#csvline3155"",""rdr250199#csvline3156"",""rdr250199#csvline3157"",""rdr250199#csvline3158"",""rdr250199#csvline3159""]"
1985NAT/VIS,[],[],possible bibliographic match only; verify primary reference,2,"[""rdr250199#csvline6908"",""rdr250199#csvline6909"",""rdr250199#csvline6910"",""rdr250199#csvline6911"",""rdr250199#csvline8268"",""rdr250199#csvline8269"",""rdr250199#csvline8270""]"
1992SVO/KUB,[],[],possible bibliographic match only; verify primary reference,2,"[""rdr250199#csvline5380"",""rdr250199#csvline5381"",""rdr250199#csvline5382"",""rdr250199#csvline5383"",""rdr250199#csvline5384"",""rdr250199#csvline5385"",""rdr250199#csvline5386"",""rdr250199#csvline5774"",""rdr250199#csvline5775"",""rdr250199#csvline5776"",""rdr250199#csvline5777""]"
1996VAR/PAS,[],[],possible bibliographic match only; verify primary reference,2,"[""rdr250199#csvline6013"",""rdr250199#csvline9996""]"
2007RIB/FRE,"[""10.1021/je060472e""]","[""https://doi.org/10.1021/je060472e""]",possible bibliographic match only; verify primary reference,2,"[""rdr250199#csvline6880"",""rdr250199#csvline6883""]"
2010RIB/AMA,[],[],possible bibliographic match only; verify primary reference,2,"[""rdr250199#csvline3629"",""rdr250199#csvline5146""]"
